id,texto_original,texto_limpio
1,Acción de tutela por vulneración del derecho fundamental a la salud.,accion tutela vulneracion derecho fundamental salud
2,Demanda laboral por despido sin justa causa y falta de pago de prestaciones sociales.,demanda laboral despido justa causa falta pago prestacion sociales
3,Proceso penal por hurto agravado cometido en establecimiento comercial.,proceso penal hurto agravado cometido establecimiento comercial
4,Solicitud de custodia compartida de menor de edad por parte del padre.,solicitud custodia compartida menor edad padre
5,Incumplimiento de contrato de arrendamiento de vivienda urbana.,incumplimiento contrato arrendamiento vivienda urbana
6,Proceso de alimentos a favor de hijo menor de edad.,proceso alimentos hijo menor edad
7,Demanda civil por responsabilidad contractual e indemnización de perjuicios.,demanda civil responsabilidad contractual e indemnizacion perjuicios
8,Acción popular por afectación al medio ambiente en comunidad rural.,accion popular afectacion medio ambiente comunidad rural
9,Solicitud de reconocimiento de pensión de vejez ante entidad pública.,solicitud reconocimiento pension vejez entidad publica
10,Proceso penal por violencia intrafamiliar contra mujer víctima.,proceso penal violencia intrafamiliar mujer victima
11,Reclamación laboral por no pago de horas extras.,reclamacion laboral no pago horas extras
12,Tutela presentada por migrante para acceder a servicios de salud.,tutela presentada migrante acceder servicios salud
13,Demanda de divorcio y liquidación de sociedad conyugal.,demanda divorcio liquidacion sociedad conyugal
14,Proceso administrativo sancionatorio contra establecimiento comercial.,proceso administrativo sancionatorio establecimiento comercial
15,Recurso de reposición contra acto administrativo de una alcaldía.,recurso reposicion acto administrativo alcaldia
16,Solicitud de protección a víctima del conflicto armado.,solicitud proteccion victima conflicto armado
17,Proceso de sucesión intestada entre herederos.,proceso sucesion intestada heredero
18,Demanda por incumplimiento de contrato de compraventa.,demanda incumplimiento contrato compraventa
19,Investigación penal por lesiones personales.,investigacion penal lesiones personales
20,Solicitud de restablecimiento de derechos de menor de edad.,solicitud restablecimiento derecho menor edad
21,Tutela por vulneración del derecho a la educación.,tutela vulneracion derecho educacion
22,Reclamación por accidente laboral y riesgos profesionales.,reclamacion accidente laboral riesgos profesionales
23,Proceso penal por acceso carnal violento.,proceso penal acceso carnal violento
24,Demanda civil por daño moral y perjuicios materiales.,demanda civil dano moral perjuicios materiales
25,Solicitud de visa y regularización migratoria.,solicitud visa regularizacion migratoria
26,Acción de grupo por daños causados a comunidad indígena.,accion grupo danos causados comunidad indigena
27,Proceso de filiación y reconocimiento de paternidad.,proceso filiacion reconocimiento paternidad
28,Demanda laboral por acoso en el lugar de trabajo.,demanda laboral acoso lugar trabajo
29,Proceso penal por estafa y abuso de confianza.,proceso penal estafa abuso confianza
30,Solicitud de nulidad de acto administrativo.,solicitud nulidad acto administrativo
31,Tutela contra EPS por negación de medicamento.,tutela eps negacion medicamento
32,Proceso ejecutivo por incumplimiento de obligación dineraria.,proceso ejecutivo incumplimiento obligacion dineraria
33,Demanda de alimentos contra progenitor ausente.,demanda alimentos progenitor ausente
34,Solicitud de reparación integral para víctima del conflicto armado.,solicitud reparacion integral victima conflicto armado
35,Proceso disciplinario contra servidor público.,proceso disciplinario servidor publico
36,Demanda por terminación unilateral de contrato laboral.,demanda terminacion unilateral contrato laboral
37,Solicitud de protección por violencia económica en el hogar.,solicitud proteccion violencia economica hogar
38,Proceso de restitución de tierras para población desplazada.,proceso restitucion tierras poblacion desplazada
39,Demanda civil por incumplimiento de contrato de prestación de servicios.,demanda civil incumplimiento contrato prestacion servicios
40,Acción constitucional por vulneración del derecho a la igualdad.,accion constitucional vulneracion derecho igualdad
41,Proceso penal por amenazas contra líder social.,proceso penal amenazas lider social
42,Solicitud de medidas de protección para mujer víctima de violencia.,solicitud medidas proteccion mujer victima violencia
43,Reclamación laboral por liquidación incorrecta.,reclamacion laboral liquidacion incorrecta
44,Proceso administrativo por revocatoria directa de resolución.,proceso administrativo revocatoria directa resolucion
45,Demanda de pertenencia sobre bien inmueble.,demanda pertenencia bien inmueble
46,Tutela por falta de atención médica urgente.,tutela falta atencion medica urgente
47,Proceso penal por violencia patrimonial en contexto familiar.,proceso penal violencia patrimonial contexto familiar
48,Solicitud de asilo por persecución política.,solicitud asilo persecucion politica
49,Demanda comercial por incumplimiento de obligaciones mercantiles.,demanda comercial incumplimiento obligacion mercantiles
50,Proceso de adopción de menor de edad.,proceso adopcion menor edad
