id,texto_original
1,Acción de tutela por vulneración del derecho fundamental a la salud.
2,Demanda laboral por despido sin justa causa y falta de pago de prestaciones sociales.
3,Proceso penal por hurto agravado cometido en establecimiento comercial.
4,Solicitud de custodia compartida de menor de edad por parte del padre.
5,Incumplimiento de contrato de arrendamiento de vivienda urbana.
6,Proceso de alimentos a favor de hijo menor de edad.
7,Demanda civil por responsabilidad contractual e indemnización de perjuicios.
8,Acción popular por afectación al medio ambiente en comunidad rural.
9,Solicitud de reconocimiento de pensión de vejez ante entidad pública.
10,Proceso penal por violencia intrafamiliar contra mujer víctima.
11,Reclamación laboral por no pago de horas extras.
12,Tutela presentada por migrante para acceder a servicios de salud.
13,Demanda de divorcio y liquidación de sociedad conyugal.
14,Proceso administrativo sancionatorio contra establecimiento comercial.
15,Recurso de reposición contra acto administrativo de una alcaldía.
16,Solicitud de protección a víctima del conflicto armado.
17,Proceso de sucesión intestada entre herederos.
18,Demanda por incumplimiento de contrato de compraventa.
19,Investigación penal por lesiones personales.
20,Solicitud de restablecimiento de derechos de menor de edad.
21,Tutela por vulneración del derecho a la educación.
22,Reclamación por accidente laboral y riesgos profesionales.
23,Proceso penal por acceso carnal violento.
24,Demanda civil por daño moral y perjuicios materiales.
25,Solicitud de visa y regularización migratoria.
26,Acción de grupo por daños causados a comunidad indígena.
27,Proceso de filiación y reconocimiento de paternidad.
28,Demanda laboral por acoso en el lugar de trabajo.
29,Proceso penal por estafa y abuso de confianza.
30,Solicitud de nulidad de acto administrativo.
31,Tutela contra EPS por negación de medicamento.
32,Proceso ejecutivo por incumplimiento de obligación dineraria.
33,Demanda de alimentos contra progenitor ausente.
34,Solicitud de reparación integral para víctima del conflicto armado.
35,Proceso disciplinario contra servidor público.
36,Demanda por terminación unilateral de contrato laboral.
37,Solicitud de protección por violencia económica en el hogar.
38,Proceso de restitución de tierras para población desplazada.
39,Demanda civil por incumplimiento de contrato de prestación de servicios.
40,Acción constitucional por vulneración del derecho a la igualdad.
41,Proceso penal por amenazas contra líder social.
42,Solicitud de medidas de protección para mujer víctima de violencia.
43,Reclamación laboral por liquidación incorrecta.
44,Proceso administrativo por revocatoria directa de resolución.
45,Demanda de pertenencia sobre bien inmueble.
46,Tutela por falta de atención médica urgente.
47,Proceso penal por violencia patrimonial en contexto familiar.
48,Solicitud de asilo por persecución política.
49,Demanda comercial por incumplimiento de obligaciones mercantiles.
50,Proceso de adopción de menor de edad.
